trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
223,False,"{'a': 0.355, 'e': 0.10752843013579495}",25,16,15.092957665865686,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.355, 'e': 0.1064585043792528}",20,10,15.135446184180052,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.355, 'e': 0.10539922456186433}",25,10,25.447542454817665,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.355, 'e': 0.104350484754765}",25,11,-7.174024981405598,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
227,False,"{'a': 0.355, 'e': 0.1033121800831002}",20,5,12.546702881292124,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.355, 'e': 0.10228420671553744}",25,6,-12.096317849625876,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
229,False,"{'a': 0.355, 'e': 0.10126646185388341}",20,15,7.936613966436661,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.355, 'e': 0.1002588437228037}",30,12,28.332351002232983,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.355, 'e': 0.09926125155964564}",20,7,-19.89822571145131,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
232,False,"{'a': 0.355, 'e': 0.09827358560436156}",25,8,-27.626703019385097,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 0}",1
233,False,"{'a': 0.355, 'e': 0.09729574708953277}",20,8,22.56579991414729,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.355, 'e': 0.09632763823049303}",20,2,-24.97378880943546,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
235,False,"{'a': 0.355, 'e': 0.09536916221554961}",25,15,16.422274562133758,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.355, 'e': 0.09442022319630235}",30,16,27.498662524235023,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.355, 'e': 0.09348072627805847}",20,6,23.738148623807806,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.355, 'e': 0.09255057751034329}",25,14,13.80243392691739,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.355, 'e': 0.09162968387750484}",35,21,23.372628118803576,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.355, 'e': 0.09071795328941251}",20,14,10.595853836193083,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.355, 'e': 0.08981529457224763}",25,11,25.847603701196505,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.355, 'e': 0.08892161745938634}",25,20,10.166076019735597,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.355, 'e': 0.08803683258237255}",20,9,-18.460055425388823,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
244,False,"{'a': 0.355, 'e': 0.0871608514619813}",25,13,20.171300197396924,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.355, 'e': 0.0862935864993705}",25,14,11.951022786266737,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
246,False,"{'a': 0.355, 'e': 0.08543495096732123}",20,6,24.95102434922627,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.355, 'e': 0.08458485900156469}",30,18,21.302234584862425,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.355, 'e': 0.08374322559219596}",20,14,10.532021473681336,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.355, 'e': 0.08290996657517266}",20,11,18.17926684097767,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.355, 'e': 0.0820849986238988}",25,12,26.98751345831713,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.355, 'e': 0.08126823924089167}",20,8,21.52579238119712,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.355, 'e': 0.08045960674953243}",25,16,16.94418436882878,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.355, 'e': 0.07965902028589801}",25,19,11.833133570251718,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.355, 'e': 0.07886639979067495}",20,10,19.860768230639973,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.355, 'e': 0.07808166600115313}",25,17,14.483907256246875,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.355, 'e': 0.07730474044329974}",20,9,20.47016264825597,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.355, 'e': 0.07653554542391151}",30,16,27.604342015444427,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.355, 'e': 0.07577400402284548}",20,3,23.42440351223806,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.355, 'e': 0.07502004008532698}",30,12,22.8494296915287,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
260,False,"{'a': 0.355, 'e': 0.07427357821433388}",25,7,28.519585805297037,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.355, 'e': 0.0735345437630571}",20,8,25.173078420951907,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.355, 'e': 0.07280286282743559}",25,13,14.240573825901135,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
263,False,"{'a': 0.355, 'e': 0.0720784622387661}",20,10,16.496033556592415,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.355, 'e': 0.07136126955638605}",20,13,10.980056985860607,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
